,date,Headlines
4532,2012-01-14,Countrywide ‘V.I.P.’ Loans Linked to 2 Congressmen
4533,2012-01-17,Daily Report: Facebook Plans to Name Names in Fight Against Worm
4534,2012-01-18,"MTV’s Latest Facebook App is About Scholarships, Not Snooki"
4535,2012-01-18,G.O.P. in Congress Gets Blame for Gridlock
4536,2012-01-18,Court Sanctions Man Who Claims to Own Facebook Stake
4537,2012-01-18,"Rejecting Pipeline Proposal, Obama Blames Congress"
4538,2012-01-19,Hudson Valley Democrat Won’t Seek 11th Term in Congress
4539,2012-01-19,Facebook Adds New Apps to Its Timeline
4540,2012-01-19,Murdoch Settles Suits by Dozens of Victims of Hacking
4541,2012-01-19,TimesCast | Phone Hacking Settlements
4542,2012-01-19,Today’s Scuttlebot: Facebook Verbs and Taming E-Mail Alerts
4543,2012-01-20,"After an Online Firestorm, Congress Shelves Antipiracy Bills"
4544,2012-01-22,Lobbyist Helps a Project He Financed in Congress
4545,2012-01-22,Metaphors of Movement Around the Spoken Word
4546,2012-01-22,"Underground Metal and Hardcore, Set Aflame"
4547,2012-01-23,Q&A: Facing Off With Facebook
4548,2012-01-23,Complications of Hacking the Planet
4549,2012-01-23,An Antitrust Chief at Justice Is Leaving
4550,2012-01-23,The long reach of a toxic metal; the outsized importance of a just one second; and discussing disgust
4551,2012-01-23,"On Super Bowls, Elections and Stock Prices"
4552,2012-01-24,Gabrielle Giffords Resigns From Congress
4553,2012-01-24,Facebook Readies Timeline Takeover
4554,2012-01-24,Facebook’s Sandberg Gently Warns Europe About Privacy Rules
4555,2012-01-25,"Netflix to Issue Earnings Report, First Since Consumer Backlash Over Its Spin-Off Plan"
4556,2012-01-25,"As I.P.O. Looms, Facebook Halts Clearing of Trades"
4557,2012-01-26,Facebook Chat About the ‘iEconomy’ Series
4558,2012-01-26,Selling a Business on Facebook
4559,2012-01-27,Massachusetts: Congressman Will Marry His Partner
4560,2012-01-27,Congress To Hear From MF Global’s Former Risk Chiefs
4561,2012-01-27,Buzz on a Facebook I.P.O. Grows Louder
4562,2012-01-28,Judge Moves Congressional Primary Date to June
4563,2012-01-28,Congressman Voices Doubt on Oversight of D.E.A.
4564,2012-01-28,Medicare Seen as Battleground Issue in Congressional Races
4565,2012-01-28,Rabbi’s Followers Cast Doubts on Congressman’s Fund-Raising
4566,2012-01-29,Ex-Congressman Retreats on Energy Project
4567,2012-01-30,Facebook Users to Put Political Views Up in Lights on Times Square
4568,2012-01-30,China Says It Curbed Spill of Toxic Metal in River
4569,2012-01-30,Bill to Prohibit Insider Trading by Members of Congress Advances in Senate
4570,2012-01-30,Today’s Scuttlebot:   F.D.A.’s Lack of Privacy and Facebook Ticker Symbols
4571,2012-01-31,Iranian Authorities Arrest Four Over Facebook Beauty Contest
4572,2012-01-31,Rare Earth Metal Refinery Nears Approval
4573,2012-01-31,Facebook Said to Be Planning for I.P.O. Filing on Wednesday
4574,2012-02-01,Personal Data’s Value? Facebook Is Set to Find Out
4575,2012-02-01,"In Facebook’s I.P.O., Goldman Is Said to Come In Third"
4576,2012-02-01,A Love-Hate Relationship With Facebook
4577,2012-02-01,"Daily Report: Facebook’s Offering, Fueled by You"
4578,2012-02-01,Tracking Facebook’s Valuation
4579,2012-02-01,Advising Congress to Cede Control
4580,2012-02-01,"E-Mail on ‘Rife’ Hacking Deleted From James Murdoch Computer, Lawyers Say"
4581,2012-02-01,"At Facebook’s Underwriters, the Client Is Blocked for Most Workers"
4582,2012-02-01,"Wonder Women, Highly Metallic"
4583,2012-02-01,Facebook Files for an I.P.O.
4584,2012-02-01,Facebook’s Filing: The Highlights
4585,2012-02-01,The Evolution of Facebook
4586,2012-02-02,Rules for Congress
4587,2012-02-02,Facebook Family Members Reap Rewards
4588,2012-02-02,"From Founders to Decorators, Facebook Riches"
4589,2012-02-02,Investors Get the Chance to Assess Facebook’s Potential
4590,2012-02-02,"With Facebook, Morgan Stanley Wins Bragging Rights"
4591,2012-02-02,And He Thought Facebook Was ‘Ridiculous’
4592,2012-02-02,Questions on Hacking for Times of London
4593,2012-02-02,The Value of Facebook
4594,2012-02-02,The Breakfast Meeting: A Look at Facebook’s Books and Its ‘Hacker’ Way
4595,2012-02-02,Will the Facebook Masses Demand Their Shares?
4596,2012-02-02,Daily Report: Facebook Makes More Millionaires
4597,2012-02-02,From Netscape to Facebook
4598,2012-02-02,Documents: Understanding the Facebook Prospectus
4599,2012-02-02,Media Decoder | Facebook's Future
4600,2012-02-02,David Carr and Jenna Wortham Discuss Facebook’s Prospects in Video
4601,2012-02-02,Facebook I.P.O. Lifts Some Tech Stocks
4602,2012-02-02,"Today’s Scuttlebot: Facebook’s Ads, Revenue and Market Fragmentation"
4603,2012-02-02,North Carolina Congressman Rejects Run for Governor or Re-Election
4604,2012-02-03,Senate Approves Ban on Insider Trading by Congress
4605,2012-02-03,Zuckerberg Remains the Undisputed Boss at Facebook
4606,2012-02-03,"As Clashes Continue, Egypt Soccer Riot Becomes Metaphor for Government Failure"
4607,2012-02-03,Daily Report: The Boss of Facebook
4608,2012-02-03,Out There | Metabolic Pathways
4609,2012-02-03,Today’s Scuttlebot: Sports Sites and Companies Hiding Hacking
4610,2012-02-04,Congress Moves on Ethics
4611,2012-02-04,Its Chief’s Big Tax Bill May Benefit Facebook
4612,2012-02-04,Facebook Is Using You
4613,2012-02-05,Austrian Law Student Faces Down Facebook
4614,2012-02-05,"Disruptions: Facebook Users Ask, ‘Where’s Our Cut?’"
4615,2012-02-06,Facebook’s Mobility Challenge
4616,2012-02-06,Congress Appears to Be Trying to Get Around Earmark Ban
4617,2012-02-06,Congressional Committees Face Campaign Finance Contortions
4618,2012-02-06,Daily Report: Facebook’s Mobility Challenge
4619,2012-02-06,"Facebooks for Doctors, Lawyers and Robots"
4620,2012-02-06,White House Nominates Baer to Lead Antitrust Division
4621,2012-02-06,Facebook Now Must Balance User Experience and Investor Experience
4622,2012-02-06,"Living With Facebook, and Living Without It"
4623,2012-02-07,Those Millions on Facebook? Some May Not Actually Visit
4624,2012-02-07,Debating the Merits of Facebook and Google+
4625,2012-02-07,Facebook Graffiti Artist Could be Worth $500 Million
4626,2012-02-08,Britain: Officials Acknowledge Failures on Phone Hacking
4627,2012-02-08,New Settlements in Britain’s Hacking Scandal
4628,2012-02-08,"If Silicon Valley Costs a Lot Now, Wait Until the Facebook Update"
4629,2012-02-08,Heavy Metal
4630,2012-02-08,North Carolina Congresswoman Is Stepping Down
4631,2012-02-09,House Passes Bill Banning Insider Trading by Members of Congress
4632,2012-02-09,DST Global’s Deal With Facebook
4633,2012-02-10,Please Join Us: Student Facebook Chat With a Times Reporter
4634,2012-02-10,A $100 Billion Value for Facebook? That May Be Possible
4635,2012-02-10,"Heavy Metal Brawler, Ready to Rumble"
4636,2012-02-10,Facebook Page Defends Accuser of Police Commissioner’s Son
4637,2012-02-11,Not on Facebook
4638,2012-02-11,Hacking Cases Focus on Memo to a Murdoch
4639,2012-02-11,"It’s Not About You, Facebook. It’s About Us."
4640,2012-02-12,"A Facebook Executive, and the Barriers Ahead"
4641,2012-02-13,Father Shoots Daughter’s Laptop Over Facebook Post
4642,2012-02-13,I.S.S. Adds to Criticism of Facebook’s Governance
4643,2012-02-13,Q&A: When Facebook Marks Your Spot
4644,2012-02-13,Angry Birds Migrates to Facebook and Toy Stores
4645,2012-02-13,Send a Facebook Message Without Becoming Friends
4646,2012-02-14,"Lin Soars, and So Does Stock Price for MSG"
4647,2012-02-14,Tuesday Reading: Dad Shoots Kid’s Laptop Over Facebook Post
4648,2012-02-14,Hacking Group Attacks Weapons Maker
4649,2012-02-15,Another Kennedy Runs for Congress
4650,2012-02-16,Congress Has No Date for the Prom
4651,2012-02-16,Congressman’s Business Ties Are at Odds With Upright Image
4652,2012-02-17,Congress to Sell Public Airwaves to Pay Benefits
4653,2012-02-17,"Lady Gaga Now, Even on Facebook"
4654,2012-02-17,Romney Campaign Distances Itself From Congressman
4655,2012-02-17,"Today’s Scuttlebot: Facebook as Publisher, and a Social F.B.I."
4656,2012-02-19,"Facebook Likes Its Artists Raw, Rough and Scrappy"
4657,2012-02-19,"Simplicity in Jazz Standards, Metal, Postpunk and R&B"
4658,2012-02-20,Questions for and About Congressman Grimm
4659,2012-02-21,Obama Calls on Congress to ‘Keep Going’
4660,2012-02-21,Meta-Marina
4661,2012-02-22,Fury in Pakistan After U.S. Congressman Suggests That a Province Leave
4662,2012-02-22,Flourishing London Metal Exchange Is to Assess Its Suitors
4663,2012-02-24,Trying to Find a Cry of Desperation Amid the Facebook Drama
4664,2012-02-24,When a Facebook Post Is a Cry for Help
4665,2012-02-24,Friday Reading: Facebook Posts May Offer Clues to Youth Depression
4666,2012-02-26,Mobile World Congress 2012: Talk That Talk
4667,2012-02-26,Risk and Riches in User Data for Facebook
4668,2012-02-27,What is Facebook Worth? A View From India
4669,2012-02-27,Facebook Makes Push for Beefed-Up Mobile Sites
4670,2012-02-27,Today’s Scuttlebot: Tracking Facebook Grads and Attacks on Air Force Computers
4671,2012-02-28,Yahoo Warns Facebook of a Potential Patent Fight
4672,2012-02-28,Britain Extends Monitoring for People With Metal Hips
4673,2012-02-28,Today’s Scuttlebot: Facebook Cards and Better Looking Cords and Cables
4674,2012-06-01,Do People Like Being Featured in Facebook Ads?
4675,2012-06-01,"On Facebook, ‘Likes’ Become Ads"
4676,2012-06-01,Congressional Hearings Sought on Abuse of Native Women
4677,2012-06-01,Daily Report: What’s Behind Facebook’s ‘Sponsored Stories’
4678,2012-06-01,Obama and Congress Point Fingers Over Jobs
4679,2012-06-01,Picking Stocks After Facebook
4680,2012-06-01,"Facebook: The New Danaher, Apco, Precision Castparts, Raven Industries or HollyFrontier?"
4681,2012-06-01,Obama Turns to Congress for Jobs Help
4682,2012-06-03,"Metalheads of All Alloys, Swirling Into the Night"
4683,2012-06-04,Today’s Scuttlebot: Tough Viruses and Facebook Addiction
4684,2012-06-05,Facebook Advisers Propose Ways to Allow Tweens on the Site Officially
4685,2012-06-05,"In Silicon Valley, Weighing the Fallout From Facebook"
4686,2012-06-05,How Can Facebook Safely Add Under-13s?
4687,2012-06-06,Nasdaq Sets Aside $40 Million to Settle Facebook Claims
4688,2012-06-06,Why Facebook Should Build a Phone
4689,2012-06-06,Ethics Case Against Congresswoman to Resume
4690,2012-06-07,Business Day Live: Anger Over Facebook Claims
4691,2012-06-07,Video: Nasdaq’s Facebook Fallout
4692,2012-06-07,Multiple Facebook Accounts for Suspect in Canadian Killing Case
4693,2012-06-08,New Clash in Congress on Gun Case Gone Wrong
4694,2012-06-08,Top British Politicians to Appear at Hacking Inquiry
4695,2012-06-08,"Obama Prods Congress, Citing Euro Crisis"
4696,2012-06-09,Facebook Holds a Vote and Turnout Is Low
4697,2012-06-09,Another Shoe Drops on Facebook
4698,2012-06-09,Congressional Committees Seek Drug Information
4699,2012-06-09,Facebook Meets Brick-and-Mortar Politics
4700,2012-06-10,Pentagon and Congress Argue Over Hospital for Troops
4701,2012-06-11,Wising Up to Facebook
4702,2012-06-11,"Amid Drumbeat of Bad News, Investors Bet Against Facebook"
4703,2012-06-12,Facebook Tries to Prove Ads Work
4704,2012-06-12,Artisanal Threads | Graymarket in Williamsburg
4705,2012-06-14,Adding a Fresh Metaphor to a Familiar Campaign Message
4706,2012-06-14,Facebook Begins Ad Bidding System
4707,2012-06-14,Q&A: Filtering Friends on Facebook
4708,2012-06-14,Today’s Scuttlebot: Anonymous Attack and Facebook Decisions
4709,2012-06-14,Forthcoming Facebook Motion Said to Discuss Nasdaq’s Role in I.P.O.
4710,2012-06-15,"In the Facebook Era, Reminders of Loss After Families Fracture"
4711,2012-06-15,On Facebook? So Are Your Future In-Laws
4712,2012-06-15,Hong Kong Exchange to Buy London Metal Exchange for $2.1 Billion
4713,2012-06-15,Friday Reading: Facebook Complicates Family Estrangements
4714,2012-06-15,Congress Suffers Electoral Defeat in Andhra Pradesh
4715,2012-06-15,Spotwag Helps Facebook Friends Find Pet Sitters
4716,2012-06-15,"In Motion, Facebook Lays Out Defense and Highlights Nasdaq’s Missteps"
4717,2012-06-15,First Major Talent Exit After Facebook I.P.O.
4718,2012-06-16,"In Brooklyn, a Longtime Provocateur Surges in a Primary Race for Congress"
4719,2012-06-16,"Mayors See Slight Gains, No Thanks to Congress"
4720,2012-06-16,Fight Over Post Tests Congress Party’s Mettle
4721,2012-06-16,"First Theater, Then Facebook"
4722,2012-06-18,Dealing With the Facebook Lawsuits
4723,2012-06-18,The Musicians’ Words: Interviews With Stars Donated to Library of Congress
4724,2012-06-18,Facebook Acquires Israeli Facial Recognition Company
4725,2012-06-18,Groups Urge Facebook Not to Aim Ads at Children Under 13
4726,2012-06-19,Facebook Focuses on the Olympics
4727,2012-06-19,Scared of Clowns? Congressional Republicans Wait for Romney on Immigration
4728,2012-06-19,Facebook Shifts Its Approach to Payments
4729,2012-06-19,Is Facebook a Fad? Will Our Grandchildren Tweet?
4730,2012-06-20,"As Issue Divides School, Congressman Takes a Side"
4731,2012-06-20,"As Queens Looks to Fill a Congressional Seat, the Democratic Race Is Wide Open"
4732,2012-06-20,"Norman Lent, Moderate Congressman Who Served 11 Terms, Dies at 81"
4733,2012-06-20,TimesCast Tech: Facebook’s Payment Plan
4734,2012-06-20,TimesCast Tech: Facebook Currency
4735,2012-06-21,The Biggest Rival for a Congresswoman From Brooklyn Isn’t Even on the Ballot
4736,2012-06-22,"To Settle Lawsuit, Facebook Alters Policy for Its Like Button"
4737,2012-06-22,"As Facebook Seeks Answers, S.E.C. Investigates Exchanges"
4738,2012-06-22,"Daily Report: To Settle Lawsuit, Facebook Changes Policy for Its Like Button"
4739,2012-06-22,Sanding Down the Grit on Rap and Metal
4740,2012-06-23,"Germany Progresses, Greece is Out. A Metaphor? An Omen?"
4741,2012-06-25,Pressure Grows on Congress for Immigration Overhaul
4742,2012-06-25,Today’s Scuttlebot: Instagram Fatigue and iPhone Prototypes
4743,2012-06-25,Facebook Adds Sandberg to Board
4744,2012-06-25,Sandberg Joins Facebook’s Board
4745,2012-06-25,"Like It or Not, Facebook Changes E-Mail Settings"
4746,2012-06-26,"For New York’s Early Congressional Primaries, a Desperate Push for Turnout"
4747,2012-06-26,F.T.C. Charges Hotel Group Over Data Breaches
4748,2012-06-26,Turnout Mixed in Early Voting in City’s Congressional Primaries
4749,2012-06-26,"On Facebook, the Semantics of Visibility vs. Privacy"
4750,2012-06-27,Rangel Fends Off Challengers to Win a Congressional Primary
4751,2012-06-27,Facebook Plans to Speed Up its iPhone App
4752,2012-06-27,Facebook Shares Falter as Analysts Split Their Verdicts
4753,2012-06-27,Creator of ‘Family Guy’ Donates Carl Sagan Papers to Library of Congress
4754,2012-06-28,New Congressional Nominee Favors Subsidizing Private Schools 
4755,2012-06-29,"Looking for Cash, Congress Finds Some in a Corporate Pension Rule Tweak"
4756,2012-06-29,Q&A: Fixing Typos in Facebook Comments
4757,2012-06-29,"In Obama’s Victory, a Loss for Congress"
4758,2012-06-29,Singer in U.S. Metal Band Arrested in Fan’s Death in Czech Republic
4759,2012-06-29,Congress Approves a $127 Billion Transportation and Student Loan Package
4760,2012-06-30,Today’s Scuttlebot: Paint-On Batteries and Facebook’s ‘Want’
4761,2012-07-01,"Its I.P.O. Botched, Facebook Looks Hard at Nasdaq"
4762,2012-07-02,"To Avoid a Long Dispute, Google Offers to Settle a European Antitrust Case"
4763,2012-07-03,Facebook and G.M. Said to Seek Solution to Fallout Over Advertising
4764,2012-07-04,It’s Back to Retirement for a New Congressman
4765,2012-07-04,Judges Rule Against Private Investigator in British Hacking Scandal
4766,2012-07-04,Sending Chick Lit Over the Moon With a Metaphysical Spin
4767,2012-07-05,Members of Congress Received Preferential Treatment on Loans From Countrywide
4768,2012-07-06,Yahoo and Facebook Settle Patent Lawsuits
4769,2012-07-07,McCotter Announces He Is Retiring From Congress Immediately
4770,2012-07-07,Michigan: Congressman Resigns After Trouble With Petitions
4771,2012-07-11,NBC and Facebook to Announce Olympics Partnership
4772,2012-07-11,Daily Report: NBC and Facebook in Olympics Partnership
4773,2012-07-13,MasterCard and Visa Will Pay Billions to Settle Antitrust Suit
4774,2012-07-17,Congress Confiscates Confederates’ Slaves
4775,2012-07-17,An iPhone Case in Custom Metal
4776,2012-07-18,Facebook Chat With Suleika Jaouad
4777,2012-07-18,Hacking Inquiry Closes With Mystery Unsolved
4778,2012-07-20,Nasdaq Raises Compensation Offer on Facebook I.P.O.
4779,2012-07-21,Congress Takes a New Look at Low-Slung Washington
4780,2012-07-22,Facebook Efforts on Advertising Face a Day of Judgment
4781,2012-07-23,Daily Report: Judgment Day for Facebook
4782,2012-07-23,Congress Presses New York Fed for More Details on Rate-Rigging Scandal
4783,2012-07-24,Phone-Hacking Charges Seen as Chill on British Journalism
4784,2012-07-24,"The Breakfast Meeting: Charges in Phone Hacking, and Super-Secret Surveillance"
4785,2012-07-24,Google Moves Toward Settlement of European Antitrust Investigation
4786,2012-07-24,Digital Diary: Musical Exhibitionism on Facebook
4787,2012-07-24,Congress to Examine Data Sellers
4788,2012-07-25,Shareholders of London Metal Exchange Back $2.1 Billion Takeover
4789,2012-07-25,Q&A: Staking the Right Spot on Facebook
4790,2012-07-25,The Breakfast Meeting: Hacking Charges and the Olympic Brand Police
4791,2012-07-25,Small Retailers Open Up Storefronts on Facebook Pages
4792,2012-07-25,Have You Tried Selling Goods on Facebook?
4793,2012-07-25,"Facing Congress, Geithner Grilled on Rate-Rigging"
4794,2012-07-26,Daily Report: Worries for Facebook in Zynga’s Earnings
4795,2012-07-26,Business Day Live: Zynga and Facebook
4796,2012-07-26,Business Day Live | Facebook
4797,2012-07-26,Facebook’s Mobile Mania
4798,2012-07-26,Facebook Delivers an Earnings Letdown
4799,2012-07-26,A Deeper Look at Facebook’s Earnings Report
4800,2012-07-26,5 Takeaways From the Facebook Earnings Call
4801,2012-07-27,Conservatives Defend Chick-fil-A on Twitter and Facebook
4802,2012-07-27,Campaign Money Scandal Rattles Congressional Race
4803,2012-07-27,Daily Report: Facebook’s First Earnings Report Disappoints Investors
4804,2012-07-27,"The Breakfast Meeting: Facebook Disappoints, and Romney as Fodder in Britain"
4805,2012-07-27,Facebook Stock Continues to Fall After Earnings Report
4806,2012-07-30,Digital Notes: A Metal Label Makes Amends With Spotify
4807,2012-07-30,Bots Raise Their Heads Again on Facebook
4808,2012-07-31,UBS Profit Falls on Facebook Loss
4809,2012-07-31,Ohio Congressman Is Latest Moderate to Head for the Exits
4810,2012-07-31,"Tentative Agreement Reached in Congress, Avoiding Government Shutdown"
4811,2012-07-31,Behind the Huge Facebook Loss at UBS
4812,2012-07-31,"In Picking Facebook Shares, Repeating the Mistakes of the Past"
4813,2012-08-01,Cybersecurity at Risk
4814,2012-08-01,White House and Congress Are in Step Over Iran Sanctions
4815,2012-08-01,Opinion Report: Cybersecurity
4816,2012-08-01,"Again, Wrangling Over Surveillance in the Cybersecurity Bill"
4817,2012-08-02,Facebook’s Slide Continues Despite the Company’s Reach and the Market’s Hopes
4818,2012-08-02,"Needles, Threads and New York History"
4819,2012-08-02,On Our Radar: Facebook’s Carbon Footprint
4820,2012-08-02,Cybersecurity Bill Is Blocked in Senate by G.O.P. Filibuster
4821,2012-08-02,Cybersecurity Bill Dies Under Weight of Partisan Bickering
4822,2012-08-02,Pile of Bills Is Left Behind as Congress Goes to Campaign
4823,2012-08-03,Daily Report: Cybersecurity Bill Blocked by G.O.P. Filibuster
4824,2012-08-03,Silicon Valley Sounds Off on Failed Cybersecurity Legislation
4825,2012-08-03,Heavy-Metal Singer Is Released From a Czech Jail
4826,2012-08-04,Congress Goes Postal
4827,2012-08-06,"Fearing an Impasse in Congress, Industry Cuts Spending"
4828,2012-08-07,Congressional Primaries in Missouri and Michigan Among Those to Watch
4829,2012-08-08,Congressional Primary in Connecticut
4830,2012-08-08,Missouri Congressman to Take On McCaskill in Senate Race
4831,2012-08-08,TimesCast Tech: Apple Freezes Password Changes After Hacking
4832,2012-08-08,Making Facebook Less Infantile
4833,2012-08-09,Congressman’s Report of Trip Is at Issue
4834,2012-08-10,"How to Make Congress Do Its Job: No Budget, No Pay"
4835,2012-08-10,Republicans Pick Ballot Replacement for Ohio Congressman
4836,2012-08-12,"Enduring Drought, Farmers Draw the Line at Congress"
4837,2012-08-12,A Steep Climb Back for Facebook’s Stock
4838,2012-08-14,"Through Ryan, Obama Seeks to Link Romney to Congress"
4839,2012-08-14,TimesCast Politics: The Ryan Pick and the Race for Congress
4840,2012-08-14,Lawmaker Literally Can’t Wait to Leave Congress
4841,2012-08-14,Tribal Threads
4842,2012-08-15,Two-Way Jabs on Medicare Recast Races for Congress
4843,2012-08-15,Germans Reopen Investigation on Facebook Privacy
4844,2012-08-15,Daily Report: Germans Reopen Facebook Privacy Inquiry
4845,2012-08-16,Ex-Aide to Cameron Appears in Court on Hacking Charges
4846,2012-08-16,Facebook Shares Hit New Low as a Lockup Period Ends
4847,2012-08-16,Instagram Refreshes App by Including Photo Maps
4848,2012-08-16,Don’t Blame Congress
4849,2012-08-17,"For Its Shares to Rebound, Facebook Needs to Project More Magic"
4850,2012-08-17,Facebook Shares Hit New Low as a Lockup Ends
4851,2012-08-17,Congressional Leaders Issue Medicare Talking Points for August
4852,2012-08-18,Congressional Fund-Raiser Charged With Immigration Fraud
4853,2012-08-19,Judge Raises New Questions About Facebook Advertising Tactic
4854,2012-08-20,"After Antitrust Ruling, BAA to Sell a London Airport"
4855,2012-08-20,How Instagram Could Have Cut a Better Deal
4856,2012-08-20,"In Congress’s Paralysis, a Mightier Supreme Court"
4857,2012-08-20,Account of ‘a Lynch’ in Jerusalem on Facebook
4858,2012-08-21,Facebook’s Ambition Collides With Harsh Market
4859,2012-08-21,Daily Report: Facebook Needs a Story
4860,2012-08-21,Former White House Cybersecurity Official Joins Start-Up
4861,2012-08-21,Business Day Live: The Facebook Frown
4862,2012-08-21,Business Day Live: Facebook and Apple
4863,2012-08-22,Skinny-Dipping in Israel Casts Unwanted Spotlight on Congressional Travel
4864,2012-08-22,Is Facebook Straying From the ‘Hacker Way’?
4865,2012-08-22,F.T.C. Ends Investigation on Facebook’s Instagram Deal
4866,2012-08-23,Citigroup Assails Nasdaq Over Flawed Facebook I.P.O.
4867,2012-08-23,Q&A: Downloading Your Facebook Life
4868,2012-08-23,Facebook Speeds Up iPhone and iPad Apps
4869,2012-08-23,Facebook Reorients Itself for a Small-Screen World
4870,2012-08-23,Deal Will Allow One-Tap Purchases Through Facebook
4871,2012-08-24,Daily Report: Facebook Tries to Go ‘Mobile-First’
4872,2012-08-24,"Today’s Scuttlebot: Hacking Your Head, and Twitter ‘Sin’"
4873,2012-08-27,"For G.O.P. Congressmen in Arizona, a Fierce Primary in a Redrawn District"
4874,2012-08-27,"Founders of Diaspora, Intended as the Anti-Facebook, Move On"
4875,2012-08-28,A Facebook App That Aims to Keep Private Photos Private
4876,2012-08-29,When Chief Executives Share Company News on Facebook
4877,2012-08-30,Britain: Former Journalist at Murdoch Paper Arrested for Hacking
4878,2012-08-30,Daily Report: A Misplaced Bet on Facebook
4879,2012-08-30,Market Research Firm Dampens Its Forecast for Facebook
4880,2012-08-30,Credit Suisse Hires Head of Canada Metals and Mining Unit
4881,2012-08-30,New Arrest Amid Inquiry on Hacking
4882,2012-08-31,Instagram on the Campaign Trail
4883,2012-08-31,"Stirling Moss, Reuniting With Precious Metal at Lime Rock"
4884,2012-09-01,Facebook Plays It Safe
4885,2012-09-01,Student Reviews of Introduction to Congress
4886,2012-09-04,The Man Behind Facebook’s I.P.O. Debacle
4887,2012-09-04,Who Is to Blame for Facebook’s I.P.O.? A Mix of Responses
4888,2012-09-05,Facebook Moves to Aid Its Shares
4889,2012-09-05,3M and Avery Dennison ‘Committed’ to Deal Despite Antitrust Issue
4890,2012-09-05,Daily Report: Facebook Tries to Lift Stock Price
4891,2012-09-05,"Congresswoman Time-Travels, and Eyebrows Are Raised"
4892,2012-09-06,It’s Official: Facebook Closes Its Acquisition of Instagram
4893,2012-09-06,"Common Threads, Uncommon Ties"
4894,2012-09-07,"Today’s Scuttlebot:  Twitter Challenges French, and Facebook-Related Spam"
4895,2012-09-08,Joe Kennedy III Wins Primary for Barney Frank’s Congressional Seat
4896,2012-09-08,If Achilles Used Facebook...
4897,2012-09-08,"A Congress for the Many, or the Few?"
4898,2012-09-09,Congress Comes Back to a Face-Off With Angry Farmers
4899,2012-09-09,"On Facebook, Bullies ‘Like’ if You Hate"
4900,2012-09-10,This Week in Small Business: Best Facebook Pages
4901,2012-09-10,India’s Congress Party Leads in Donations
4902,2012-09-10,"Company Says It, Not F.B.I., Was Hacking Victim"
4903,2012-09-10,Why Facebook Is Paying the Tax Tab on Employee Compensation
4904,2012-09-10,Metabolic Syndrome and the Teenage Brain
4905,2012-09-11,Nominees Leave Congressional Candidates to Stump Alone
4906,2012-09-12,"The Breakfast Meeting: Beck Back on TV, Facebook on Nipplegate"
4907,2012-09-13,"Facebook Friends Boasted of Gang War, Police Say"
4908,2012-09-14,Women Running for Congress in Record Numbers
4909,2012-09-14,What Congress Owes the Constituents
4910,2012-09-17,Metallica in London
4911,2012-09-17,Congressional Republicans Raise Questions About New York Investigations
4912,2012-09-18,"In a School Built on Trust, Metal Detectors Inject Fear"
4913,2012-09-18,Widow Takes On Congressman Who Ousted Her Husband
4914,2012-09-18,"Today’s Scuttlebot: Instagram vs. Snapseed, and iPad Mini Photo"
4915,2012-09-19,Congress Nearing End of Session Where Partisan Input Impeded Output
4916,2012-09-19,Library of Congress Overhauls Online Offerings
4917,2012-09-19,F.T.C. Still Expects to Resolve Google Antitrust Inquiry by Year’s End
4918,2012-09-20,"Google to Topple Facebook as Leader in Display Ads, eMarketer Says"
4919,2012-09-20,Lawmakers Clash on Fate of Congress’s Gun Inquiry
4920,2012-09-21,Day of Political Maneuvering and Fights Stalls Congress’s Close
4921,2012-09-21,Hostage Situation Unfolds Over Facebook
4922,2012-09-21,"Facebook Can ID Faces, but Using Them Grows Tricky"
4923,2012-09-21,Congressmen Seek More Oversight of U.S. Antidoping Agency
4924,2012-09-22,Congress Heads for Home With Rancor Still Evident
4925,2012-09-22,Hostage Drama Resolved Amid Talk on Facebook
4926,2012-09-22,Congress’s Unpopular Watchdog
4927,2012-09-22,"Facebook Invitation Draws Thousands, and a Melee, to Dutch Town"
4928,2012-09-24,3Taps Files Antitrust Action Against Craigslist
4929,2012-09-24,New York Attorney General Rebuffs Congressional Republicans
4930,2012-09-25,Congressman’s Campaign Office Vandalized
4931,2012-09-25,Eighth Grader Says He Broke Congressman’s Office Windows
4932,2012-09-25,Q&A: Combining Two Facebook Pages
4933,2012-09-25,"Today’s Scuttlebot: Hacking Public Transit, and Twitter Rethinking Follower Counts"
4934,2012-09-26,"Climate Change, Metal and Waterways"
4935,2012-09-26,2nd Youth Charged in Vandalism at Congressman’s Campaign Office
4936,2012-09-27,Facebook Lets Users Buy Real Things for Friends
4937,2012-09-29,"So Far Unfruitful, Fusion Project Faces a Frugal Congress"
4938,2012-10-01,Police Official Accused of Leak to Tabloid Newspaper in British Phone Hacking Scandal
4939,2012-10-01,Facebook Says Child Privacy Laws Should Not Apply to ‘Like’ Buttons
4940,2012-10-03,Facebook Delivers a Confident Sales Pitch to Advertisers
4941,2012-10-03,"Unfriending Someone, Before Facebook"
4942,2012-10-03,Daily Report: Facebook’s Advertising Plan
4943,2012-10-03,YouTube and Facebook Remain Blocked in Kashmir
4944,2012-10-04,Competitive Races Put New York State in Thick of the Fight for Congress
4945,2012-10-04,A Billion Users Raise Stakes at Facebook for Revenue
4946,2012-10-04,Book by Facebook’s Sheryl Sandberg Will Be Published in March
4947,2012-10-04,When Metal Comes Alive
